address,role,status,dns_name,description,comments
94.140.14.14/32,anycast,active,dns.adguard-dns.com,AdGuard DNS,
94.140.15.15/32,anycast,active,dns.adguard-dns.com,AdGuard DNS,
2a10:50c0::ad1:ff/128,anycast,active,dns.adguard-dns.com,AdGuard DNS,
2a10:50c0::ad2:ff/128,anycast,active,dns.adguard-dns.com,AdGuard DNS,
94.140.14.15/32,anycast,active,family.adguard-dns.com,AdGuard DNS(Family),
94.140.15.16/32,anycast,active,family.adguard-dns.com,AdGuard DNS(Family),
2a10:50c0::bad1:ff/128,anycast,active,family.adguard-dns.com,AdGuard DNS(Family),
2a10:50c0::bad2:ff/128,anycast,active,family.adguard-dns.com,AdGuard DNS(Family),
94.140.14.140/32,anycast,active,unfiltered.adguard-dns.com,AdGuard DNS(Unfiltered),
94.140.15.141/32,anycast,active,unfiltered.adguard-dns.com,AdGuard DNS(Unfiltered),
2a10:50c0::1:ff/128,anycast,active,unfiltered.adguard-dns.com,AdGuard DNS(Unfiltered),
2a10:50c0::2:ff/128,anycast,active,unfiltered.adguard-dns.com,AdGuard DNS(Unfiltered),
45.163.79.58/32,anycast,active,,AgnerDNS,
45.163.79.59/32,anycast,active,,AgnerDNS,
2804:52f0:810:2::58/128,anycast,active,,AgnerDNS,
2804:52f0:810:2::59/128,anycast,active,,AgnerDNS,
45.163.79.60/32,anycast,active,,AgnerDNS(Adult),
45.163.79.61/32,anycast,active,,AgnerDNS(Adult),
2804:52f0:810:2::60/128,anycast,active,,AgnerDNS(Adult),
2804:52f0:810:2::61/128,anycast,active,,AgnerDNS(Adult),
208.67.222.222/32,anycast,active,dns.opendns.com,Cisco OpenDNS,
208.67.220.220/32,anycast,active,dns.opendns.com,Cisco OpenDNS,
2620:119:35::35/128,anycast,active,dns.opendns.com,Cisco OpenDNS,
2620:119:53::53/128,anycast,active,dns.opendns.com,Cisco OpenDNS,
146.112.41.2/32,anycast,active,doh.opendns.com,Cisco OpenDNS(DoH),
2620:119:fc::2/128,anycast,active,doh.opendns.com,Cisco OpenDNS(DoH),
208.67.222.123/32,anycast,active,familyshield.opendns.com,Cisco OpenDNS Family,
208.67.220.123/32,anycast,active,familyshield.opendns.com,Cisco OpenDNS Family,
2620:119:35::123/128,anycast,active,familyshield.opendns.com,Cisco OpenDNS Family,
2620:119:53::123/128,anycast,active,familyshield.opendns.com,Cisco OpenDNS Family,
146.112.41.3/32,anycast,active,doh.familyshield.opendns.com,Cisco OpenDNS Family(DoH),
2620:119:fc::3/128,anycast,active,doh.familyshield.opendns.com,Cisco OpenDNS Family(DoH),
208.67.222.220/32,anycast,active,resolver3.opendns.com,Cisco OpenDNS(resolver 3),
208.67.220.222/32,anycast,active,resolver4.opendns.com,Cisco OpenDNS(resolver 4),
208.67.220.2/32,anycast,active,sandbox.opendns.com,Cisco OpenDNS Sandbox,
208.67.222.2/32,anycast,active,sandbox.opendns.com,Cisco OpenDNS Sandbox,
2620:0:ccd::2/128,anycast,active,sandbox.opendns.com,Cisco OpenDNS Sandbox,
2620:0:ccc::2/128,anycast,active,sandbox.opendns.com,Cisco OpenDNS Sandbox,
146.112.41.4/32,anycast,active,doh.sandbox.opendns.com,Cisco OpenDNS Sandbox(DoH),
2620:119:fc::4/128,anycast,active,doh.sandbox.opendns.com,Cisco OpenDNS Sandbox(DoH),
146.112.41.5/32,anycast,active,doh.umbrella.com,Cisco Umbrella(DoH),
2620:119:fc::5/128,anycast,active,doh.umbrella.com,Cisco Umbrella(DoH),
1.1.1.1/32,anycast,active,one.one.one.one,Cloudflare DNS,
1.0.0.1/32,anycast,active,one.one.one.one,Cloudflare DNS,
2606:4700:4700::1111/128,anycast,active,1dot1dot1dot1.cloudflare-dns.com,Cloudflare DNS,
2606:4700:4700::1001/128,anycast,active,1dot1dot1dot1.cloudflare-dns.com,Cloudflare DNS,
1.1.1.2/32,anycast,active,security.cloudflare-dns.com,Cloudflare DNS - Malware,
1.0.0.2/32,anycast,active,security.cloudflare-dns.com,Cloudflare DNS - Malware,
2606:4700:4700::1112/128,anycast,active,security.cloudflare-dns.com,Cloudflare DNS - Malware,
2606:4700:4700::1002/128,anycast,active,security.cloudflare-dns.com,Cloudflare DNS - Malware,
1.1.1.3/32,anycast,active,family.cloudflare-dns.com,Cloudflare DNS - Malware and adult,
1.0.0.3/32,anycast,active,family.cloudflare-dns.com,Cloudflare DNS - Malware and adult,
